"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Side","Deck"
"No","3","female",31,0,0,7.8542,"Southampton","Miss",NA,NA
"No","2","male",46,0,0,26,"Southampton","Mr",NA,NA
"No","2","male",23,0,0,10.5,"Southampton","Dr",NA,NA
"Yes","2","female",28,0,0,12.65,"Southampton","Mrs",NA,NA
"Yes","3","male",39,0,0,7.925,"Southampton","Mr",NA,NA
"No","3","male",26,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","female",21,1,0,9.825,"Southampton","Miss",NA,NA
"No","3","male",28,1,0,15.85,"Southampton","Mr",NA,NA
"No","3","female",20,0,0,8.6625,"Southampton","Miss",NA,NA
"No","2","male",34,1,0,21,"Southampton","Mr",NA,NA
"No","3","male",51,0,0,7.75,"Southampton","Mr",NA,NA
"Yes","2","male",3,1,1,18.75,"Southampton","Master",NA,NA
"No","3","male",21,0,0,7.775,"Southampton","Mr",NA,NA
"No","3","female",21,3,1,25.4667,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,6.8583,"Queenstown","Mr",NA,NA
"Yes","1","female",33,1,0,90,"Queenstown","Miss","Backbord","C"
"No","2","male",30,0,0,0,"Southampton","Mr",NA,NA
"Yes","3","male",44,0,0,7.925,"Southampton","Mr",NA,NA
"No","3","female",35,0,0,8.05,"Southampton","Mrs",NA,NA
"Yes","2","female",34,1,1,32.5,"Southampton","Mrs",NA,NA
"Yes","2","female",18,0,2,13,"Southampton","Miss",NA,NA
"No","2","male",30,0,0,13,"Southampton","Mr",NA,NA
"No","3","female",10,0,2,24.15,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"Cherbourg","Mr",NA,NA
"No","3","male",21,0,0,7.7333,"Queenstown","Mr",NA,NA
"No","3","male",29,0,0,7.875,"Southampton","Mr",NA,NA
"No","3","female",28,1,1,14.4,"Southampton","Mrs",NA,NA
"No","3","male",18,1,1,20.2125,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.25,"Southampton","Mr",NA,NA
"Yes","2","female",28,1,0,26,"Southampton","Mrs",NA,NA
"Yes","2","female",19,0,0,26,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Yes","3","male",32,0,0,8.05,"Southampton","Mr","Backbord","E"
"Yes","1","male",28,0,0,26.55,"Southampton","Mr","Backbord","C"
"Yes","3","female",35,1,0,16.1,"Southampton","Mrs",NA,NA
"Yes","2","female",42,1,0,26,"Southampton","Mrs",NA,NA
"No","3","male",17,0,0,7.125,"Southampton","Mr",NA,NA
"No","1","male",50,1,0,55.9,"Southampton","Mr","Backbord","E"
"Yes","1","female",14,1,2,120,"Southampton","Miss","Backbord","B"
"No","3","female",21,2,2,34.375,"Southampton","Miss",NA,NA
"Yes","2","female",24,2,3,18.75,"Southampton","Mrs",NA,NA
"No","1","male",64,1,4,263,"Southampton","Mr","Steuerbord","C"
"No","2","male",31,0,0,10.5,"Southampton","Mr",NA,NA
"Yes","2","female",45,1,1,26.25,"Southampton","Mrs",NA,NA
"No","3","male",20,0,0,9.5,"Southampton","Mr",NA,NA
"No","3","male",25,1,0,7.775,"Southampton","Mr",NA,NA
"Yes","2","female",28,0,0,13,"Southampton","Ms",NA,NA
"Yes","3","male",30,0,0,8.1125,"Southampton","Mr",NA,NA
"Yes","1","male",4,0,2,81.8583,"Southampton","Master","Backbord","A"
"Yes","2","female",13,0,1,19.5,"Southampton","Miss",NA,NA
"Yes","1","male",34,0,0,26.55,"Southampton","Mr",NA,NA
"Yes","3","female",5,2,1,19.2583,"Cherbourg","Miss",NA,NA
"Yes","1","male",52,0,0,30.5,"Southampton","Major","Backbord","C"
"No","2","male",36,1,2,27.75,"Southampton","Mr",NA,NA
"No","3","male",30,1,0,19.9667,"Southampton","Mr",NA,NA
"No","1","male",30,0,0,27.75,"Cherbourg","Mr","Steuerbord","C"
"Yes","1","male",49,1,0,89.1042,"Cherbourg","Mr","Backbord","C"
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","3","male",29,0,0,7.8958,"Cherbourg","Mr",NA,NA
"No","1","male",65,0,0,26.55,"Southampton","Mr","Backbord","E"
"Yes","1","female",35,1,0,51.8625,"Southampton","Mrs","Steuerbord","D"
"Yes","2","female",50,0,0,10.5,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Yes","1","male",48,0,0,26.55,"Southampton","Mr","Backbord","E"
"No","3","male",34,0,0,8.05,"Southampton","Mr",NA,NA
"No","1","male",47,0,0,38.5,"Southampton","Mr","Steuerbord","E"
"No","2","male",48,0,0,13,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",38,0,0,7.05,"Southampton","Mr",NA,NA
"No","2","male",30,0,0,0,"Southampton","Mr",NA,NA
"No","1","male",56,0,0,26.55,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.725,"Queenstown","Mr",NA,NA
"Yes","3","female",0.75,2,1,19.2583,"Cherbourg","Miss",NA,NA
"No","3","male",30,0,0,7.25,"Southampton","Mr",NA,NA
"No","3","male",38,0,0,8.6625,"Southampton","Mr",NA,NA
"Yes","2","female",33,1,2,27.75,"Southampton","Mrs",NA,NA
"Yes","2","female",23,0,0,13.7917,"Cherbourg","Mrs",NA,"D"
"No","3","female",22,0,0,9.8375,"Southampton","Miss",NA,NA
"No","1","male",30,0,0,52,"Southampton","Mr","Backbord","A"
"No","2","male",34,1,0,21,"Southampton","Mr",NA,NA
"No","3","male",29,1,0,7.0458,"Southampton","Mr",NA,NA
"No","3","male",22,0,0,7.5208,"Southampton","Mr",NA,NA
"Yes","3","female",2,0,1,12.2875,"Southampton","Miss",NA,NA
"No","3","male",9,5,2,46.9,"Southampton","Master",NA,NA
"No","2","male",30,0,0,0,"Southampton","Mr",NA,NA
"No","3","male",50,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","3","female",63,0,0,9.5875,"Southampton","Mrs",NA,NA
"Yes","1","male",25,1,0,91.0792,"Cherbourg","Mr","Steuerbord","B"
"No","3","female",21,3,1,25.4667,"Southampton","Miss",NA,NA
"Yes","1","female",35,1,0,90,"Southampton","Mrs","Steuerbord","C"
"No","1","male",58,0,0,29.7,"Cherbourg","Mr","Steuerbord","B"
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","3","male",9,1,1,15.9,"Southampton","Master",NA,NA
"No","3","male",30,1,0,19.9667,"Southampton","Mr",NA,NA
"No","3","male",21,0,0,7.25,"Southampton","Mr",NA,NA
"No","1","male",55,0,0,30.5,"Southampton","Mr","Backbord","C"
"No","1","male",71,0,0,49.5042,"Cherbourg","Mr",NA,NA
"No","3","male",21,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,14.4583,"Cherbourg","Mr",NA,NA
"Yes","1","female",54,1,0,78.2667,"Cherbourg","Miss","Backbord","D"
"No","3","male",30,0,0,15.1,"Southampton","Mr",NA,NA
"No","1","female",25,1,2,151.55,"Southampton","Mrs","Backbord","C"
"No","3","male",24,0,0,7.7958,"Southampton","Mr",NA,NA
"No","3","male",17,0,0,8.6625,"Southampton","Mr",NA,NA
"No","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"No","3","female",21,0,0,7.6292,"Queenstown","Miss",NA,NA
"No","3","female",37,0,0,9.5875,"Southampton","Miss",NA,NA
"Yes","1","female",16,0,0,86.5,"Southampton","Miss","Steuerbord","B"
"No","1","male",18,1,0,108.9,"Cherbourg","Mr","Steuerbord","C"
"Yes","2","female",33,0,2,26,"Southampton","Mrs",NA,NA
"Yes","1","male",30,0,0,26.55,"Southampton","Mr",NA,NA
"No","3","male",28,0,0,22.525,"Southampton","Mr",NA,NA
"Yes","3","male",26,0,0,56.4958,"Southampton","Mr",NA,NA
"Yes","3","male",29,0,0,7.75,"Queenstown","Mr",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","1","male",36,0,0,26.2875,"Southampton","Mr","Steuerbord","E"
"Yes","1","female",54,1,0,59.4,"Cherbourg","Mrs",NA,NA
"No","3","male",24,0,0,7.4958,"Southampton","Mr",NA,NA
"No","1","male",47,0,0,34.0208,"Southampton","Mr","Backbord","D"
"Yes","2","female",34,0,0,10.5,"Southampton","Mrs","Steuerbord","F"
"No","3","male",30,0,0,24.15,"Queenstown","Mr",NA,NA
"Yes","2","female",36,1,0,26,"Southampton","Mrs",NA,NA
"No","3","male",32,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","1","female",30,0,0,93.5,"Southampton","Miss","Steuerbord","B"
"No","3","male",22,0,0,7.8958,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Yes","1","female",44,0,1,57.9792,"Cherbourg","Mrs","Backbord","B"
"No","3","male",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"No","3","male",40.5,0,0,7.75,"Queenstown","Mr",NA,NA
"Yes","2","female",50,0,0,10.5,"Southampton","Miss",NA,NA
"No","1","male",30,0,0,221.7792,"Southampton","Mr","Steuerbord","C"
"No","3","male",39,0,0,7.925,"Southampton","Mr",NA,NA
"No","2","male",23,2,1,11.5,"Southampton","Mr",NA,NA
"Yes","2","female",2,1,1,26,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"No","3","male",17,1,1,7.2292,"Cherbourg","Mr",NA,NA
"Yes","3","female",35,0,2,22.3583,"Cherbourg","Mrs",NA,NA
"No","3","female",30,0,0,8.6625,"Southampton","Miss",NA,NA
"Yes","2","female",7,0,2,26.25,"Southampton","Miss",NA,NA
"No","1","male",45,0,0,26.55,"Southampton","Major","Backbord","B"
"Yes","1","female",30,0,0,106.425,"Cherbourg","Miss",NA,NA
"No","3","male",30,0,0,14.5,"Southampton","Mr",NA,NA
"Yes","1","female",22,0,2,49.5,"Cherbourg","Miss","Steuerbord","B"
"Yes","1","female",36,0,2,71,"Southampton","Miss","Backbord","B"
"No","3","female",9,4,2,31.275,"Southampton","Miss",NA,NA
"No","3","female",11,4,2,31.275,"Southampton","Miss",NA,NA
"Yes","2","male",32,1,0,26,"Southampton","Mr",NA,NA
"No","1","male",50,1,0,106.425,"Cherbourg","Mr","Backbord","C"
"No","1","male",64,0,0,26,"Southampton","Mr",NA,NA
"Yes","2","female",19,1,0,26,"Southampton","Mrs",NA,NA
"Yes","2","male",30,0,0,13.8625,"Cherbourg","Mr",NA,NA
"No","3","male",33,1,1,20.525,"Southampton","Mr",NA,NA
"Yes","2","male",8,1,1,36.75,"Southampton","Master",NA,NA
"Yes","1","male",17,0,2,110.8833,"Cherbourg","Mr","Backbord","C"
"No","2","male",27,0,0,26,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.8292,"Queenstown","Mr",NA,NA
"Yes","3","male",22,0,0,7.225,"Cherbourg","Mr",NA,NA
"Yes","3","female",22,0,0,7.775,"Southampton","Miss",NA,NA
"No","1","male",62,0,0,26.55,"Southampton","Mr",NA,NA
"Yes","1","female",48,1,0,39.6,"Cherbourg","Lady","Backbord","A"
"No","1","male",30,0,0,227.525,"Cherbourg","Mr",NA,NA
"Yes","1","female",39,1,1,79.65,"Southampton","Mrs","Steuerbord","E"
"Yes","3","female",36,1,0,17.4,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.75,"Queenstown","Mr",NA,NA
"No","3","male",40,0,0,7.8958,"Southampton","Mr",NA,NA
"No","2","male",28,0,0,13.5,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","female",21,0,0,8.05,"Southampton","Miss",NA,NA
"No","3","male",24,2,0,24.15,"Southampton","Mr",NA,NA
"No","3","male",19,0,0,7.8958,"Southampton","Mr",NA,NA
"No","3","female",29,0,4,21.075,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Yes","3","male",32,0,0,7.8542,"Southampton","Mr",NA,NA
"Yes","2","male",62,0,0,10.5,"Southampton","Mr",NA,NA
"Yes","1","female",53,2,0,51.4792,"Southampton","Mrs","Steuerbord","C"
"Yes","1","male",36,0,0,26.3875,"Southampton","Mr","Steuerbord","E"
"Yes","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"No","3","male",16,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",19,0,0,14.5,"Southampton","Mr",NA,NA
"Yes","2","female",34,0,0,13,"Southampton","Miss",NA,NA
"Yes","1","female",39,1,0,55.9,"Southampton","Mrs","Backbord","E"
"No","3","female",35,1,0,14.4583,"Cherbourg","Mrs",NA,NA
"Yes","3","male",32,0,0,7.925,"Southampton","Mr",NA,NA
"Yes","2","female",25,1,1,30,"Southampton","Miss",NA,NA
"Yes","1","female",39,1,1,110.8833,"Cherbourg","Mrs","Backbord","C"
"No","2","male",54,0,0,26,"Southampton","Mr",NA,NA
"No","1","male",36,0,0,40.125,"Cherbourg","Mr","Backbord","A"
"No","3","male",30,0,0,8.7125,"Cherbourg","Mr",NA,NA
"Yes","1","female",18,0,2,79.65,"Southampton","Miss","Backbord","E"
"No","2","male",47,0,0,15,"Southampton","Mr",NA,NA
"Yes","1","male",60,1,1,79.2,"Cherbourg","Mr","Steuerbord","B"
"No","3","male",22,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",35,0,0,7.125,"Southampton","Mr",NA,NA
"Yes","1","female",52,1,0,78.2667,"Cherbourg","Mrs","Backbord","D"
"No","3","male",47,0,0,7.25,"Southampton","Mr",NA,NA
"No","3","female",21,0,2,7.75,"Queenstown","Miss",NA,NA
"No","2","male",37,1,0,26,"Southampton","Mr",NA,NA
"No","3","male",36,1,1,24.15,"Southampton","Mr",NA,NA
"Yes","2","female",21,0,0,33,"Southampton","Miss",NA,NA
"No","3","male",49,0,0,0,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Yes","1","male",49,1,0,56.9292,"Cherbourg","Sir","Backbord","A"
"Yes","2","female",24,2,1,27,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","1","male",30,0,0,42.4,"Southampton","Mr",NA,NA
"No","3","male",44,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","1","male",35,0,0,26.55,"Cherbourg","Mr",NA,NA
"No","3","male",36,1,0,15.55,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","1","male",27,0,0,30.5,"Southampton","Mr",NA,NA
"Yes","2","female",22,1,2,41.5792,"Cherbourg","Mrs",NA,NA
"Yes","1","female",40,0,0,153.4625,"Southampton","Miss","Steuerbord","C"
"No","3","female",39,1,5,31.275,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.05,"Southampton","Mr",NA,NA
"Yes","3","female",21,1,0,15.5,"Queenstown","Miss",NA,NA
"No","3","male",30,0,0,7.75,"Queenstown","Mr",NA,NA
"No","3","male",35,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","2","female",24,1,2,65,"Southampton","Miss",NA,NA
"No","3","male",34,1,1,14.4,"Southampton","Mr",NA,NA
"No","3","female",26,1,0,16.1,"Southampton","Mrs",NA,NA
"Yes","2","female",4,2,1,39,"Southampton","Miss","Backbord","F"
"No","2","male",26,0,0,10.5,"Southampton","Mr",NA,NA
"No","3","male",27,1,0,14.4542,"Cherbourg","Mr",NA,NA
"Yes","1","male",42,1,0,52.5542,"Southampton","Mr","Steuerbord","D"
"Yes","3","male",20,1,1,15.7417,"Cherbourg","Mr",NA,NA
"No","3","male",21,0,0,7.8542,"Southampton","Mr",NA,NA
"No","3","male",21,0,0,16.1,"Southampton","Mr",NA,NA
"No","1","male",61,0,0,32.3208,"Southampton","Mr","Backbord","D"
"No","2","male",57,0,0,12.35,"Queenstown","Rev",NA,NA
"Yes","1","female",21,0,0,77.9583,"Southampton","Miss","Steuerbord","D"
"No","3","male",26,0,0,7.8958,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.7333,"Queenstown","Mr",NA,NA
"Yes","1","male",80,0,0,30,"Southampton","Mr","Steuerbord","A"
"No","3","male",51,0,0,7.0542,"Southampton","Mr",NA,NA
"Yes","1","male",32,0,0,30.5,"Cherbourg","Dr","Backbord","B"
"No","1","male",30,0,0,0,"Southampton","Mr",NA,NA
"No","3","female",9,3,2,27.9,"Southampton","Miss",NA,NA
"Yes","2","female",28,0,0,13,"Southampton","Miss",NA,NA
"No","3","male",32,0,0,7.925,"Southampton","Mr",NA,NA
"No","2","male",31,1,1,26.25,"Southampton","Mr",NA,NA
"No","3","female",41,0,5,39.6875,"Southampton","Mrs",NA,NA
"No","3","male",30,1,0,16.1,"Southampton","Mr",NA,NA
"No","3","male",20,0,0,7.8542,"Southampton","Mr",NA,NA
"Yes","1","female",24,0,0,69.3,"Cherbourg","Mlle","Steuerbord","B"
"No","3","female",2,3,2,27.9,"Southampton","Miss",NA,NA
"Yes","3","male",30,0,0,56.4958,"Southampton","Mr",NA,NA
"Yes","3","female",0.75,2,1,19.2583,"Cherbourg","Miss",NA,NA
"Yes","1","male",48,1,0,76.7292,"Cherbourg","Mr","Steuerbord","D"
"No","3","male",19,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","1","male",56,0,0,35.5,"Cherbourg","Col","Backbord","A"
"No","3","male",30,0,0,7.55,"Southampton","Mr",NA,NA
"Yes","3","female",23,0,0,7.55,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","2","female",18,0,1,23,"Southampton","Miss",NA,NA
"No","3","male",21,0,0,8.4333,"Southampton","Mr",NA,NA
"Yes","3","female",21,0,0,7.8292,"Queenstown","Miss",NA,NA
"No","3","female",18,0,0,6.75,"Queenstown","Miss",NA,NA
"No","2","male",24,2,0,73.5,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","3","female",32,1,1,15.5,"Queenstown","Mrs",NA,NA
"No","2","male",23,0,0,13,"Southampton","Mr",NA,NA
"No","1","male",58,0,2,113.275,"Cherbourg","Mr","Backbord","D"
"Yes","1","male",50,2,0,133.65,"Southampton","Dr",NA,NA
"No","3","male",40,0,0,7.225,"Cherbourg","Mr",NA,NA
"No","1","male",47,0,0,25.5875,"Southampton","Mr","Backbord","E"
"No","3","male",36,0,0,7.4958,"Southampton","Mr",NA,NA
"Yes","3","male",20,1,0,7.925,"Southampton","Mr",NA,NA
"No","2","male",32,2,0,73.5,"Southampton","Mr",NA,NA
"No","2","male",25,0,0,13,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.775,"Southampton","Mr",NA,NA
"No","3","male",43,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","1","female",35,1,0,52,"Southampton","Mrs","Backbord","C"
"Yes","2","female",40,1,1,39,"Southampton","Mrs",NA,NA
"No","1","male",31,1,0,52,"Southampton","Mr","Steuerbord","B"
"No","2","male",70,0,0,10.5,"Southampton","Mr",NA,NA
"Yes","2","male",31,0,0,13,"Southampton","Mr",NA,NA
"No","2","male",30,0,0,0,"Southampton","Mr",NA,NA
"No","3","male",18,0,0,7.775,"Southampton","Mr",NA,NA
"No","3","male",24.5,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","3","female",18,0,0,9.8417,"Southampton","Miss",NA,NA
"No","3","female",43,1,6,46.9,"Southampton","Mrs",NA,NA
"Yes","1","male",36,0,1,512.3292,"Cherbourg","Mr","Steuerbord","B"
"No","3","female",21,0,0,8.1375,"Queenstown","Miss",NA,NA
"Yes","1","male",27,0,0,76.7292,"Cherbourg","Mr","Steuerbord","D"
"No","3","male",20,0,0,9.225,"Southampton","Mr",NA,NA
"No","3","male",14,5,2,46.9,"Southampton","Mr",NA,NA
"No","2","male",60,1,1,39,"Southampton","Mr",NA,NA
"No","2","male",25,1,2,41.5792,"Cherbourg","Mr",NA,NA
"No","3","male",14,4,1,39.6875,"Southampton","Mr",NA,NA
"No","3","male",19,0,0,10.1708,"Southampton","Mr",NA,NA
"No","3","male",18,0,0,7.7958,"Southampton","Mr",NA,NA
"Yes","1","female",15,0,1,211.3375,"Southampton","Miss","Steuerbord","B"
"Yes","1","male",31,1,0,57,"Southampton","Mr","Backbord","B"
"Yes","3","female",4,0,1,13.4167,"Cherbourg","Miss",NA,NA
"Yes","3","male",30,0,0,56.4958,"Southampton","Mr",NA,NA
"No","3","male",25,0,0,7.225,"Cherbourg","Mr",NA,NA
"No","1","male",60,0,0,26.55,"Southampton","Col",NA,NA
"No","2","male",52,0,0,13.5,"Southampton","Mr",NA,NA
"No","3","male",44,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","3","female",21,0,0,7.7333,"Queenstown","Miss",NA,NA
"No","1","male",49,1,1,110.8833,"Cherbourg","Mr","Backbord","C"
"No","3","male",42,0,0,7.65,"Southampton","Mr","Steuerbord","F"
"Yes","1","female",18,1,0,227.525,"Cherbourg","Mrs","Backbord","C"
"Yes","1","male",35,0,0,26.2875,"Southampton","Mr","Backbord","E"
"No","3","female",18,0,1,14.4542,"Cherbourg","Miss",NA,NA
"No","3","male",25,0,0,7.7417,"Queenstown","Mr",NA,NA
"No","3","male",26,1,0,7.8542,"Southampton","Mr",NA,NA
"No","2","male",39,0,0,26,"Southampton","Mr",NA,NA
"Yes","2","female",45,0,0,13.5,"Southampton","Mrs",NA,NA
"Yes","1","male",42,0,0,26.2875,"Southampton","Mr","Backbord","E"
"Yes","1","female",22,0,0,151.55,"Southampton","Miss",NA,NA
"Yes","3","male",3.5,1,1,15.2458,"Cherbourg","Master",NA,NA
"Yes","1","female",24,0,0,49.5042,"Cherbourg","Mlle","Backbord","C"
"No","1","male",30,0,0,26.55,"Southampton","Mr","Backbord","C"
"Yes","1","male",48,1,0,52,"Southampton","Mr","Backbord","C"
"No","3","male",29,0,0,9.4833,"Southampton","Mr",NA,NA
"No","2","male",52,0,0,13,"Southampton","Mr",NA,NA
"No","3","male",19,0,0,7.65,"Southampton","Mr","Steuerbord","F"
"Yes","1","female",38,0,0,227.525,"Cherbourg","Miss","Steuerbord","C"
"Yes","2","female",27,0,0,10.5,"Southampton","Miss","Steuerbord","E"
"No","3","male",30,0,0,15.5,"Queenstown","Mr",NA,NA
"No","3","male",33,0,0,7.775,"Southampton","Mr",NA,NA
"Yes","2","female",6,0,1,33,"Southampton","Miss",NA,NA
"No","3","male",17,1,0,7.0542,"Southampton","Mr",NA,NA
"No","2","male",34,0,0,13,"Southampton","Mr",NA,NA
"No","2","male",50,0,0,13,"Southampton","Mr",NA,NA
"Yes","1","male",27,1,0,53.1,"Southampton","Mr","Backbord","E"
"No","3","male",20,0,0,8.6625,"Southampton","Mr",NA,NA
"Yes","2","female",30,3,0,21,"Southampton","Mrs",NA,NA
"Yes","3","female",21,0,0,7.7375,"Queenstown","Miss",NA,NA
"No","2","male",25,1,0,26,"Southampton","Mr",NA,NA
"No","3","female",25,1,0,7.925,"Southampton","Miss",NA,NA
"Yes","1","female",29,0,0,211.3375,"Southampton","Miss","Steuerbord","B"
"No","3","male",11,0,0,18.7875,"Cherbourg","Mr",NA,NA
"No","2","male",30,0,0,0,"Southampton","Mr",NA,NA
"No","2","male",23,0,0,13,"Southampton","Mr",NA,NA
"No","2","male",23,0,0,13,"Southampton","Mr",NA,NA
"No","3","male",28.5,0,0,16.1,"Southampton","Mr",NA,NA
"No","3","female",48,1,3,34.375,"Southampton","Mrs",NA,NA
"Yes","1","male",35,0,0,512.3292,"Cherbourg","Mr","Steuerbord","B"
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","1","male",30,0,0,30,"Southampton","Mr","Steuerbord","D"
"No","1","male",36,1,0,78.85,"Southampton","Mr","Backbord","C"
"Yes","1","female",21,2,2,262.375,"Cherbourg","Miss","Backbord","B"
"No","3","male",24,1,0,16.1,"Southampton","Mr",NA,NA
"Yes","3","male",31,0,0,7.925,"Southampton","Mr",NA,NA
"No","1","male",70,1,1,71,"Southampton","Capt","Backbord","B"
"No","3","male",16,1,1,20.25,"Southampton","Mr",NA,NA
"Yes","2","female",30,0,0,13,"Southampton","Miss",NA,NA
"No","1","male",19,1,0,53.1,"Southampton","Mr","Backbord","D"
"No","3","male",31,0,0,7.75,"Queenstown","Mr",NA,NA
"Yes","2","female",4,1,1,23,"Southampton","Miss",NA,NA
"Yes","3","male",6,0,1,12.475,"Southampton","Master","Steuerbord","E"
"No","3","male",33,0,0,9.5,"Southampton","Mr",NA,NA
"No","3","male",23,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","2","female",48,1,2,65,"Southampton","Mrs",NA,NA
"Yes","2","male",0.67,1,1,14.5,"Southampton","Master",NA,NA
"No","3","male",28,0,0,7.7958,"Southampton","Mr",NA,NA
"No","2","male",18,0,0,11.5,"Southampton","Mr",NA,NA
"No","3","male",34,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","1","female",33,0,0,86.5,"Southampton","the Countess","Steuerbord","B"
"No","3","male",30,0,0,14.5,"Southampton","Mr",NA,NA
"No","3","male",41,0,0,7.125,"Southampton","Mr",NA,NA
"Yes","3","male",20,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Yes","1","female",36,1,2,120,"Southampton","Mrs","Backbord","B"
"No","3","male",16,0,0,7.775,"Southampton","Mr",NA,NA
"Yes","1","female",51,1,0,77.9583,"Southampton","Mrs","Steuerbord","D"
"No","1","male",46.5,0,0,39.6,"Cherbourg","Dr",NA,NA
"No","3","female",30.5,0,0,7.75,"Queenstown","Miss",NA,NA
"No","3","male",30,1,0,24.15,"Queenstown","Mr",NA,NA
"No","3","male",32,0,0,8.3625,"Southampton","Mr",NA,NA
"No","3","male",24,0,0,9.5,"Southampton","Mr",NA,NA
"No","3","male",48,0,0,7.8542,"Southampton","Mr",NA,NA
"No","2","female",57,0,0,10.5,"Southampton","Mrs","Steuerbord","E"
"No","3","male",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Yes","2","female",54,1,3,23,"Southampton","Mrs",NA,NA
"No","3","male",18,0,0,7.75,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.75,"Queenstown","Mr","Backbord","F"
"Yes","3","female",5,0,0,12.475,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.7375,"Queenstown","Mr",NA,NA
"Yes","1","female",43,0,1,211.3375,"Southampton","Mrs","Steuerbord","B"
"Yes","3","female",13,0,0,7.2292,"Cherbourg","Miss",NA,NA
"Yes","1","female",17,1,0,57,"Southampton","Mrs","Backbord","B"
"No","1","male",29,0,0,30,"Southampton","Mr","Backbord","D"
"No","3","male",30,1,2,23.45,"Southampton","Mr",NA,NA
"No","3","male",25,0,0,7.05,"Southampton","Mr",NA,NA
"No","3","male",25,0,0,7.25,"Southampton","Mr",NA,NA
"Yes","3","female",18,0,0,7.4958,"Southampton","Miss",NA,NA
"No","3","male",8,4,1,29.125,"Queenstown","Master",NA,NA
"Yes","3","male",1,1,2,20.575,"Southampton","Master",NA,NA
"No","1","male",46,0,0,79.2,"Cherbourg","Mr","Backbord","B"
"No","3","male",30,0,0,7.75,"Queenstown","Mr",NA,NA
"No","2","male",16,0,0,26,"Southampton","Mr",NA,NA
"No","3","female",21,8,2,69.55,"Southampton","Miss",NA,NA
"No","1","male",30,0,0,30.6958,"Cherbourg","Mr",NA,NA
"No","3","male",25,0,0,7.8958,"Southampton","Mr",NA,NA
